year,level,task,variant,source_pdf,source_page,literal_text,formula,visual,control,interaction,scorer,state_reload,browser_evidence,final_status
2026,base,4,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,11,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,4,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,12,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,5,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,12,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,5,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,12,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,5,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,12,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,6,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,13,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,row_checkboxes,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,6,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,13,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,row_checkboxes,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,6,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,14,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,7,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,14,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,7,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,15,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,7,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,16,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,8,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,17,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,checkboxes,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,8,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,17,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,checkboxes,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,9,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,18,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,9,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,18,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,10,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,19,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,10,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,19,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,10,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,19,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,11,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,20,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,11,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,20,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,11,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,20,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,11,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,20,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,12,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,21,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,12,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,21,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,12,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,21,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,12,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,21,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,13,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,22,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,13,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,22,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,13,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,22,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,13,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,22,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,14,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,23,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,14,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,23,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,14,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,23,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,15,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,23,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,15,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,23,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,15,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,23,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,15,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,23,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,16,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,16,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,16,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,16,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,17,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,17,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,17,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,17,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,24,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,18,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,25,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,PASS,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,18,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,25,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,18,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,26,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,PASS,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,19,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,26,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,19,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,26,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,19,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,27,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,19,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,27,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,20,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,27,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,20,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,27,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,20,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,27,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,20,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,27,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,21,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,28,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,21,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,28,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,21,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,28,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,21,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,28,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
